,Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
0,Andhra Pradesh, 31-01-2016, M,17.91,20626291.0,62.67
1,Andhra Pradesh, 29-02-2016, M,9.98,19334918.0,53.5
2,Andhra Pradesh, 31-03-2016, M,10.72,19646970.0,54.73
3,Andhra Pradesh, 30-04-2016, M,5.51,18929583.0,49.76
4,Andhra Pradesh, 31-05-2016, M,6.29,21163390.0,56.02
5,Andhra Pradesh, 30-06-2016, M,4.51,18431598.0,47.81
6,Andhra Pradesh, 31-07-2016, M,4.87,19486726.0,50.67
7,Andhra Pradesh, 31-08-2016, M,4.03,18826519.0,48.45
8,Andhra Pradesh, 30-09-2016, M,7.6,19863483.0,53.02
9,Andhra Pradesh, 31-10-2016, M,10.06,19151488.0,52.44
10,Andhra Pradesh, 30-11-2016, M,5.23,19046358.0,49.43
11,Andhra Pradesh, 31-12-2016, M,4.64,18235985.0,46.97
12,Andhra Pradesh, 31-01-2017, M,5.85,19480036.0,50.74
13,Andhra Pradesh, 28-02-2017, M,4.75,18231391.0,46.88
14,Andhra Pradesh, 31-03-2017, M,3.06,18418217.0,46.47
15,Andhra Pradesh, 30-04-2017, M,3.52,18173679.0,46.01
16,Andhra Pradesh, 31-05-2017, M,2.3,17992099.0,44.91
17,Andhra Pradesh, 30-06-2017, M,3.65,17724207.0,44.8
18,Andhra Pradesh, 31-07-2017, M,2.66,17953658.0,44.85
19,Andhra Pradesh, 31-08-2017, M,3.43,17774825.0,44.7
20,Andhra Pradesh, 30-09-2017, M,6.59,18595636.0,48.28
21,Andhra Pradesh, 31-10-2017, M,3.51,17233209.0,43.25
22,Andhra Pradesh, 30-11-2017, M,3.32,18182263.0,45.48
23,Andhra Pradesh, 31-12-2017, M,4.01,18593687.0,46.77
24,Andhra Pradesh, 31-01-2018, M,5.79,17947085.0,45.93
25,Andhra Pradesh, 28-02-2018, M,3.97,17568645.0,44.06
26,Andhra Pradesh, 31-03-2018, M,4.22,17247729.0,43.3
27,Andhra Pradesh, 30-04-2018, M,3.65,17084469.0,42.58
28,Andhra Pradesh, 31-05-2018, M,4.01,17078661.0,42.66
29,Andhra Pradesh, 30-06-2018, M,4.51,16524370.0,41.44
30,Andhra Pradesh, 31-07-2018, M,5.25,17438268.0,44.01
31,Andhra Pradesh, 31-08-2018, M,4.33,17247277.0,43.05
32,Andhra Pradesh, 30-09-2018, M,4.88,17200185.0,43.11
33,Andhra Pradesh, 31-10-2018, M,5.56,15617337.0,39.37
34,Andhra Pradesh, 30-11-2018, M,5.24,16856909.0,42.29
35,Andhra Pradesh, 31-12-2018, M,4.2,17094902.0,42.37
36,Andhra Pradesh, 31-01-2019, M,5.21,17525876.0,43.83
37,Andhra Pradesh, 28-02-2019, M,5.76,15705618.0,39.46
